M2020-01,11,29,090320,TABCOMBI
1,3350,3399,30,32,4
1,3350,3399,33,35,3
1,3350,3399,36,36,2
1,3350,3399,37,44,1
1,3350,3399,99,99,1
1,3400,3449,30,31,4
1,3400,3449,32,35,3
1,3400,3449,36,36,2
1,3400,3449,37,44,1
1,3400,3449,99,99,1
1,3450,3499,30,30,4
1,3450,3499,31,35,3
1,3450,3499,36,36,2
1,3450,3499,37,44,1
1,3450,3499,99,99,1
1,3500,3549,30,30,4
1,3500,3549,31,35,3
1,3500,3549,36,36,2
1,3500,3549,37,44,1
1,3500,3549,99,99,1
1,3550,3599,30,30,4
1,3550,3599,31,35,3
1,3550,3599,36,36,2
1,3550,3599,37,44,1
1,3550,3599,99,99,1
1,3600,3649,30,30,4
1,3600,3649,31,35,3
1,3600,3649,36,36,2
1,3600,3649,37,44,1
1,3600,3649,99,99,1
1,3650,3699,30,30,4
1,3650,3699,31,35,3
1,3650,3699,36,36,2
1,3650,3699,37,44,1
1,3650,3699,99,99,1
1,3700,3749,30,30,4
1,3700,3749,31,35,3
1,3700,3749,36,37,2
1,3700,3749,38,44,1
1,3700,3749,99,99,1
1,3750,3799,31,35,3
1,3750,3799,36,37,2
1,3750,3799,38,44,1
1,3750,3799,99,99,1
1,3800,3849,31,35,3
1,3800,3849,36,37,2
1,3800,3849,38,44,1
1,3800,3849,99,99,1
1,3850,3899,31,35,3
1,3850,3899,36,37,2
1,3850,3899,38,44,1
1,3850,3899,99,99,1
1,3900,3949,31,36,3
1,3900,3949,37,37,2
1,3900,3949,38,44,1
1,3900,3949,99,99,1
1,3950,3999,31,36,3
1,3950,3999,37,37,2
1,3950,3999,38,44,1
1,3950,3999,99,99,1
1,4000,4049,31,36,3
1,4000,4049,37,37,2
1,4000,4049,38,44,1
1,4000,4049,99,99,1
1,4050,4099,32,36,3
1,4050,4099,37,37,2
1,4050,4099,38,44,1
1,4050,4099,99,99,1
1,4100,4149,32,36,3
1,4100,4149,37,37,2
1,4100,4149,38,44,1
1,4100,4149,99,99,1
1,4150,4199,33,36,3
1,4150,4199,37,37,2
1,4150,4199,38,44,1
1,4150,4199,99,99,1
1,4200,4249,33,36,3
1,4200,4249,37,37,2
1,4200,4249,38,44,1
1,4200,4249,99,99,1
1,4250,4299,33,36,3
1,4250,4299,37,38,2
1,4250,4299,39,44,1
1,4250,4299,99,99,1
1,4300,4349,33,36,3
1,4300,4349,37,38,2
1,4300,4349,39,44,1
1,4300,4349,99,99,1
1,4350,4399,33,36,3
1,4350,4399,37,38,2
1,4350,4399,39,44,1
1,4350,4399,99,99,1
1,4400,4449,33,36,3
1,4400,4449,37,38,2
1,4400,4449,39,44,1
1,4400,4449,99,99,1
1,4450,4499,33,36,3
1,4450,4499,37,38,2
1,4450,4499,39,44,1
1,4450,4499,99,99,1
1,4500,4549,33,37,3
1,4500,4549,38,38,2
1,4500,4549,39,44,1
1,4500,4549,99,99,1
1,4550,4599,33,37,3
1,4550,4599,38,38,2
1,4550,4599,39,44,1
1,4550,4599,99,99,1
1,4600,4649,34,37,3
1,4600,4649,38,38,2
1,4600,4649,39,44,1
1,4600,4649,99,99,1
1,4650,4699,34,37,3
1,4650,4699,38,38,2
1,4650,4699,39,44,1
1,4650,4699,99,99,1
1,4700,7499,34,37,3
1,4700,7499,38,38,2
1,4700,7499,39,44,1
1,4700,7499,99,99,1
2,12,31,A,A,A
2,12,31,B,B,B
2,12,31,C,C,C
2,12,31,D,D,D
2,32,32,A,A,B
2,32,32,B,C,C
2,32,32,D,D,D
2,33,35,A,A,C
2,33,35,B,D,D
2,36,36,A,A,B
2,36,36,B,C,C
2,36,36,D,D,D
2,37,44,A,A,A
2,37,44,B,B,B
2,37,44,C,C,C
2,37,44,D,D,D
3,12,32,A,A,B
3,12,32,B,B,C
3,12,32,C,D,D
3,33,35,A,B,C
3,33,35,C,D,D
3,36,36,A,A,B
3,36,36,B,B,C
3,36,36,C,D,D
3,37,44,A,A,A
3,37,44,B,B,B
3,37,44,C,C,C
3,37,44,D,D,D
4,12,32,A,A,A
4,12,44,B,B,B
4,33,35,A,A,B
4,36,44,A,A,A
